indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
2070;1996;;;;;124.68;2;12;18
2070;1917;;;;;130;1;1;20
2070;1916;;;;;118;1;11;18
2070;1915;;;;;118;1;12;8
2070;1914;;;;;105.4;1;3;22
2070;1913;;;;;118.6;2;10;28
2069;1930;;;;;646;2;3;20
2069;1929;;;;;;4;12;6
2069;1928;;;;;;4;2;25
2070;1920;;;;;;4;12;28
2072;1927;;;;;217;1;12;23
2074;1922;;;;;;4;10;30
2074;1921;;;;;370;1;1;30
2074;1920;;;;;407;1;12;29
2074;1919;;;;;289;1;3;12
2074;1918;;;;;466;1;2;18
2074;1917;;;;;446;1;1;22
2072;1930;;;;;580.16;2;3;19
2070;1930;;;;;329;2;3;19
2072;1928;;;;;265;1;10;28
2079;1925;;;;;366;1;12;23
2072;1926;;;;;260;1;12;6
2072;1925;;;;;271;1;2;6
2072;1924;;;;;223;1;4;19
2072;1923;;;;;260;1;3;23
2072;1922;;;;;229;1;4;11
2072;1921;;;;;229;1;3;7
2071;1996;;;;;209.92;2;6;7
2071;1989;;;;;651.4;2;12;23
2072;1929;;;;;228;1;3;18
