indroea;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2069;48;38;10;1918;1968;495;69.585;26.24;128.49;0.34;0.63;0.02;318.28;28.749;75.356;98.382;105.764;115.175;137.626;119.517;78.906;38.366;11.035;3.199;10.111;191.45;102.67;52.31;11.94;0.67
2070;97;76;21;1912;2012;1032;10.755;2.31;22.08;0.39;0.46;0;53.86;5.622;12.103;15.683;15.853;16.41;19.639;17.188;13.116;6.423;2.583;1.668;2.441;32.05;15.51;7.12;2.53;0.77
2071;50;47;3;1942;1997;583;61.4;26.11;107.8;0.31;0.39;0.18;315.13;32.436;69.702;89.897;95.706;103.857;107.298;99.998;72.585;36.473;11.736;9.153;12.893;182.12;90.22;46.54;16.9;1.43
2072;30;19;11;1921;1950;283;50.798;29.75;82.71;0.3;0.9;0.03;221.11;25.8;51.637;73.641;80.466;79.643;100.071;83.888;64.456;29.835;9.093;4.161;9.658;132.98;70.21;38.21;9.75;1
2073;91;84;7;1930;2020;1054;6.699;1.4;22.71;0.52;1.44;0;126.46;2.945;5.61;9.676;11.027;11.771;10.408;8.189;6.706;4.87;3.292;2.628;2.189;20.21;7.79;4.51;1.89;0.35
2074;103;83;20;1917;2020;1087;75.831;27.06;153.95;0.39;0.49;0.07;514.71;38.708;78.235;107.003;115.905;119.79;132.025;119.886;87.656;46.387;18.244;13.838;19.076;225.05;109.07;46.12;23.65;3.12
2075;76;54;22;1912;2020;807;14.419;8.67;24.99;0.26;0.62;1.41;64.27;6.561;6.611;6.631;9.289;10.763;11.473;15.005;15.254;17.282;27.971;26.99;14.134;35.73;21.84;9.77;4.6;2.66
2076;51;48;3;1961;2020;594;10.389;3.96;21.06;0.38;0.74;0;65.81;4.802;9.25;14.346;17.339;18.614;17.332;15.803;11.623;7.15;3.508;2.154;2.311;30.76;14.09;7.5;3.15;0.76
2077;86;82;4;1929;2020;1014;0.925;0.16;2.05;0.45;0.51;0;7.67;0.191;0.168;0.493;0.963;1.22;1.128;0.849;0.529;0.628;2.113;1.83;0.843;3.15;1.45;0.43;0.11;0.04
2078;57;55;2;1961;2020;674;5.689;2.41;14.25;0.4;1.05;0.46;34.66;4.006;5.908;7.284;7.068;7.029;8.899;9.547;7.513;4.463;2.611;2.115;2.361;15.36;7.66;3.92;2.53;1.44
2079;61;42;19;1914;2020;592;24.146;3.43;81.26;0.64;1.41;0;404.13;9.666;18.954;28.191;39.621;53.527;45.81;36.947;25.354;13.207;6.263;3.819;5.102;81.75;30.2;12.32;3.69;0.07
2080;82;60;22;1914;2020;862;10.803;2.7;22.11;0.41;0.62;0.05;108.03;5.266;11.201;15.615;14.618;17;15.309;15.267;13.358;7.845;3.454;1.668;1.786;29.5;14.27;7.49;2.7;0.49
2081;24;23;1;1997;2020;286;22.913;8.72;50.26;0.5;1.05;0;172.92;24.688;31.909;37.778;30.903;27.838;37.127;39.141;28.825;12.61;2.617;0.272;2.39;79.16;32.2;15.88;3.97;0.14
2082;87;78;9;1934;2020;998;5.961;1.31;15.66;0.56;0.76;0;52.62;2.252;5.439;9.009;10.392;11.058;9.942;8.514;7.406;4.181;0.98;0.15;0.377;21.67;7.45;3.32;0.66;0
2083;25;23;2;1969;1993;284;8.303;3.21;17.92;0.43;0.79;0;50.97;3.474;5.978;12.449;12.717;16.65;12.403;12.736;10.349;6.261;3.18;1.658;1.598;24.92;11.35;5.43;2.47;0.89
2084;38;38;0;1969;2006;456;28.143;11.48;53.34;0.41;0.24;6.47;245.62;19.765;22.288;35.719;32.331;29.54;24.598;24.087;28.41;26.593;30.567;33.992;29.452;70.22;36;20.86;13.6;8.08
2085;84;62;22;1916;2020;900;20.005;5.17;41.85;0.38;0.74;0.08;128.28;12.565;28.125;27.188;25.517;28.065;30.318;33.389;34.08;17.553;5.081;0.787;2.878;66.45;29.15;12.82;3.71;0.37
2086;57;40;17;1917;1973;549;36.323;13.44;85.85;0.44;0.93;0.17;226.74;20.004;33.4;41.209;45.33;46.199;49.191;52.348;46.57;31.052;18.224;16.613;17.953;106.94;47.61;24.81;10.88;1.32
2087;69;50;19;1915;2020;698;24.937;7.8;77.95;0.63;1.32;0;249.92;15.026;26.088;39.843;42.933;37.444;35.725;32.387;30.801;22.101;14.899;12.026;13.092;84.24;29.42;14.56;10.1;6.97
2088;49;46;3;1958;2007;569;26.61;5.83;63.2;0.58;0.7;2.41;265.98;18.617;27.917;36.109;39.447;37.866;35.546;26.489;25.217;21.168;15.852;17.147;17.593;83.02;31.11;15.66;9.55;5.67
2089;79;76;3;1942;2020;936;4.546;1.36;11.23;0.48;0.85;0.12;48.89;2.234;4.509;6.727;7.277;7.826;7.279;6.711;5.729;3.357;1.426;0.786;0.883;13.55;6.41;2.89;1.17;0.48
2090;24;23;1;1968;1991;284;7.31;1.02;22.56;0.6;1.54;0.06;164.77;2.239;7.476;18.085;16.62;13.818;9.11;7.024;8.22;4.454;1.35;0.515;0.517;30.41;9.45;2.62;0.72;0.21
2091;46;44;2;1961;2007;534;10.83;0.03;32.94;0.77;0.68;0;172.18;4.629;13.959;22.522;23.016;26.88;16.94;10.704;8.323;3.785;1.72;1.14;1.338;59.61;11.59;2.74;0.55;0.03
2092;85;60;25;1916;2020;895;13.228;1.69;34.92;0.62;0.72;0;190.57;5.623;12.555;19.589;21.552;26.257;21.924;17.02;12.643;6.311;2.927;2.15;2.045;51.79;13.28;5.33;2.1;0.85
2093;44;41;3;1943;1994;507;267.451;89.48;588.42;0.48;0.86;14.85;2312.99;151.694;254.97;317.363;407.528;532.412;441.226;342.531;279.508;183.741;115.52;75.488;117.352;857.96;312.7;182.86;118.4;55.15
2094;44;43;1;1961;2005;519;7.091;0.05;24.26;0.94;1.18;0;138.58;0.521;5.038;12.338;19.005;22.086;14.802;6.454;4.996;1.847;0.585;0.038;0.01;43.22;6.57;0.98;0.01;0
2095;69;65;4;1929;2010;803;131.502;43.69;356.49;0.49;1.14;0.21;1220.04;61.467;123.286;191.298;219.112;244.283;246.607;198.901;144.924;80.26;32.94;25.646;33.122;427.73;175.77;83.49;41.16;9.11
2096;25;22;3;1929;1967;277;138.496;44.04;280.34;0.48;0.52;5.03;835.71;59.167;131.24;179.387;239.604;264.738;282.043;215.077;123.256;83.167;36.954;24.82;36.005;480.94;179.66;81.65;43.9;18.32
2097;50;48;2;1969;2020;592;61.454;20.57;168.53;0.5;1.13;1.82;603.96;25.339;41.692;75.05;111.903;121.589;98.596;85.968;62.734;43.305;26.236;22.924;23.772;180.47;73.09;37.41;24.19;14.29
2098;24;24;0;1997;2020;288;4.658;2.86;7.6;0.24;0.59;0.22;22.61;2.164;5.458;7.14;6.411;7.158;9.268;8.614;5.504;2.355;0.851;0.531;0.57;12.59;7.19;3.71;1.02;0.41
2099;23;22;1;1998;2020;272;21.229;5.1;69.14;0.72;1.49;1.28;221.39;11.212;12.748;30.416;37.351;31.984;31.802;28.093;22.204;12.822;10.604;9.925;11.891;100.16;19.61;10.88;7.72;4.41
2100;33;26;7;1929;1962;368;10.179;3.37;17.88;0.35;0.07;0.57;67.24;4.624;9.835;10.94;14.276;15.398;20.155;14.126;9.564;5.785;4.738;5.475;5.221;32.09;11.86;6.41;3.93;2.25
2101;100;82;18;1911;2020;1121;3.438;0.27;10.23;0.6;1.41;0.06;26.03;1.292;3.31;4.806;5.704;6.352;6.112;5.926;4.882;2.649;0.917;0.454;0.467;12.29;4.77;1.86;0.61;0.22
2102;57;57;0;1964;2020;684;21.117;11.59;39.03;0.25;0.78;0.16;97.18;10.951;12.807;18.192;19.704;23.5;25.644;31.142;26.524;23.103;23.976;22.083;15.793;50.31;31.74;17.55;6.78;2.47
2103;56;54;2;1964;2020;664;25.445;12.1;52.16;0.3;1.34;0.16;151.39;12.846;17.062;23.919;27.998;31.779;32.232;37.433;31.445;25.056;25.544;23.101;16.834;60.59;35.79;21.16;9.64;2.56
2104;57;55;2;1964;2020;671;4.384;1.01;12.37;0.53;0.95;0;36.73;1.991;3.798;6.224;8.085;9.719;7.157;6.432;4.646;2.382;0.967;0.52;0.577;16;5.71;2.47;0.82;0.17
2105;22;21;1;1999;2020;260;0.831;0.11;1.98;0.6;0.62;0.02;5.53;0.504;0.729;1.214;1.516;1.458;1.049;1.067;0.638;0.52;0.543;0.474;0.444;2.86;0.99;0.53;0.3;0.1
2106;74;71;3;1929;2020;878;5.243;1.31;8.78;0.32;-0.2;0;36.49;2.581;3.129;4.226;5.597;6.902;8.446;8.506;5.9;4.426;4.804;5.496;4.448;14;7.5;4.4;1.95;0.56
2107;89;85;4;1932;2020;1056;2.567;0.64;6.75;0.43;1.12;0.01;17.79;2.355;3.226;3.653;4.01;4.252;3.661;3.002;2.278;1.64;1.003;0.972;1.447;7.69;3.45;1.76;0.97;0.35
2108;91;83;8;1929;2020;1050;7.42;3.2;13.75;0.32;0.73;0.29;43;4.2;5.222;6.697;7.878;7.988;7.593;8.79;11.231;9.232;7.878;7.282;5.566;17.42;9.71;6.59;3.88;1.32
2109;106;85;21;1912;2020;1156;2.169;0.67;4.3;0.4;0.31;0;25.09;1.099;1.746;2.642;3.199;3.385;3.388;3.367;2.733;1.892;1.403;1.327;1.142;6.51;2.81;1.54;0.9;0.31
2110;84;61;23;1911;1994;878;3.547;0.99;10.19;0.49;1.26;0;33.44;2.538;3.597;4.235;5.007;5.425;5.589;4.402;3.633;2.55;1.835;1.904;2.021;10.56;3.88;2.44;1.65;0.96
2111;33;33;0;1988;2020;396;17.698;8.98;47.88;0.4;2.2;2.89;117.07;12.874;13.17;18.075;21.342;21.418;26.711;24.747;14.631;14.85;15.608;15.128;13.933;42.95;20.22;13.15;10.25;6.4
2112;33;32;1;1988;2020;394;14.257;5.32;40.56;0.44;2.11;1.75;110.7;10.078;12.975;17.415;18.187;17.681;20.74;18.458;11.932;10.237;13.444;12.141;7.411;32.42;17.7;11.49;7.5;4.35
2113;21;20;1;2000;2020;242;4.69;1.1;12.2;0.69;0.91;0.06;35.94;2.506;4.114;8.474;8.434;8.816;8.04;8.059;4.691;2.041;0.664;0.307;0.346;22.09;5.16;1.92;0.57;0.21
2114;19;19;0;2002;2020;228;0.684;0.03;1.88;0.75;0.92;0;9.23;0.037;0.149;0.484;0.771;1.396;1.907;1.632;1.297;0.546;0.043;0;0;3.57;0.66;0.14;0;0
2115;19;18;1;2002;2020;222;8.987;4.62;13.42;0.27;-0.19;0.13;45.46;5.314;10.199;12.599;12.304;14.989;18.043;16.539;8.762;4.031;1.755;1.511;1.826;24.97;13.97;6.51;2.29;0.73
2116;44;43;1;1976;2020;520;9.54;3.12;17.05;0.42;0.19;0.56;66.65;4.498;6.13;10.054;14.364;16.83;13.574;14.656;10.791;9.022;5.94;4.98;4.493;29.99;11.78;6.51;3.84;2.21
2117;28;27;1;1975;2008;329;42.347;9.27;104.34;0.64;1;1.95;303.44;23.85;39.149;69.052;64.471;77.258;70.854;66.094;43.393;22.802;10.021;7.55;9.299;158.61;57.35;21.36;8.51;3.88
2119;6;6;0;2015;2020;72;17.655;9.56;30.91;0.4;0.75;2.22;88.3;8.727;18.848;29.003;22.525;32.497;29.082;32.428;19.982;8.917;4.318;2.918;3.533;62.11;21.41;12.65;4.42;2.51
2120;31;27;4;1964;1994;352;1.096;0.02;3.12;0.73;0.5;0;19.15;0.167;0.519;1.302;3.133;3.062;1.454;1.131;1.318;0.432;0.086;0.074;0.076;5.67;1.08;0.09;0.03;0
2121;19;18;1;2002;2020;222;97.783;37.17;171.54;0.4;0.02;8.09;575.83;40.098;61.281;110.74;148.524;199.292;181.468;178.303;110.895;65.219;29.715;26.136;34.03;327.28;139.24;56.89;35.47;20.02
2122;63;62;1;1940;2020;753;12.845;1.28;27.97;0.42;-0.2;0.68;56.86;9.074;7.418;8.072;9.502;10.201;11.768;12.906;14.558;15.101;20.767;21.277;14.804;35.34;22.35;8.53;2.47;1.5
2123;16;16;0;2005;2020;192;4.049;1.39;5.97;0.3;-0.46;0.18;17.95;0.8;2.816;5.416;6.765;8.417;8.313;7.653;4.536;2.658;0.813;0.381;0.329;14.21;6.81;2.23;0.57;0.28
