indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2024;1966;1967;;117;INCOMPLETO CON VALOR ALTO;11;8;97.1;;;;
2024;1961;1962;;156;VALOR COMPLETADO;1;2;154;;;;
2024;1930;1931;;;;;;;86.5;INCOMPLETO CON VALOR ALTO;3;20
2024;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;4
2024;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;4
2024;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2022;1935;1936;;;;;;;27.23;INCOMPLETO CON VALOR ALTO;2;
2024;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;23
2024;1913;1914;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;22
2024;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;30
2024;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;29
2024;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;13
2024;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;3
2024;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;16
2024;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2024;1915;1916;;;;;;;86;VALOR COMPLETADO;12;5
2018;2000;2001;;136;INCOMPLETO CON VALOR ALTO;3;5;;96.3;INCOMPLETO CON VALOR ALTO;3;5
2024;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;28
2015;1915;1916;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2021;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;19
2015;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;2
2015;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2015;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;2
2015;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;29
2015;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;15
2015;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2015;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2015;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;20
2015;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;26
2015;1914;1915;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;23
2015;1911;1912;;;;;;;147;INCOMPLETO CON VALOR ALTO;2;9
2014;1930;1931;;;;;;;362.21;INCOMPLETO CON VALOR ALTO;3;13
2014;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;21
2014;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;4
2014;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;26
2014;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2014;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;1
2015;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;7
2016;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;6
