indroea;anomes_ci;dia_ci;hci;qci
2001;200003;14;0.59;3.18
2001;200004;6;0.52;2.357
2001;200005;2;0.51;2.246
2001;200006;23;1.17;13.309
2001;200007;16;1.18;13.536
2001;200008;1;1.18;13.536
2001;200009;1;1.08;11.351
2001;200010;4;0.6;3.26
2001;200011;15;0.63;3.66
2001;200012;15;0.89;7.81
2001;200101;29;2.54;62.5
2001;200102;1;2.3;51.4
2001;200103;5;3.11;93.1
2001;200104;1;1.06;11.1
2001;200105;29;1.17;13.4
2001;200106;20;1.42;20
2001;200107;29;1.21;14.4
2001;200108;7;1.5;22.2
2001;200109;6;1.39;19
2001;200110;1;0.73;5.03
2001;200111;17;0.49;1.99
2001;200112;19;0.51;2.17
2001;200201;16;0.52;2.34
2001;200202;12;0.52;2.3
2001;200203;29;0.51;2.26
2001;200204;11;0.53;2.39
2001;200205;9;0.75;5.43
2001;200206;18;0.97;9.24
2001;200207;28;1;9.86
2001;200208;5;1.05;10.8
2001;200209;1;0.73;5.06
2001;200210;1;0.48;1.94
2001;200211;18;0.45;1.12
2001;200212;8;0.45;1.13
2001;200301;31;1.56;24
2001;200302;4;1.3;16.8
2001;200303;6;1.13;12.6
2001;200304;27;0.95;8.73
2001;200305;23;1.02;10.1
2001;200306;30;1.11;12.2
2001;200307;1;1.12;12.3
2001;200308;11;1.11;12.2
2001;200309;9;1.16;13.4
2001;200310;1;0.62;3.1
2001;200311;1;0.49;1.52
2001;200312;6;0.7;4.23
2001;200401;28;1.88;34.3
2001;200402;2;1.86;33.5
2001;200403;1;1;9.62
2001;200404;30;1.12;12.3
2001;200405;1;1.13;12.6
2001;200406;24;1.18;13.9
2001;200407;9;1.51;22.6
2001;200408;4;1.2;14.2
2001;200409;6;1.03;10.3
2001;200410;1;0.86;6.93
2001;200411;23;0.5;1.62
2001;200412;15;0.58;2.6
2001;200501;17;0.5;1.6
2001;200502;28;0.5;1.59
2001;200503;1;0.49;1.51
2001;200504;30;0.73;4.65
2001;200505;9;1.5;22.4
2001;200506;21;0.98;9.27
2001;200507;19;0.99;9.41
2001;200508;1;0.97;9.1
2001;200509;5;0.87;7.06
2001;200510;1;0.54;2.02
2001;200511;15;0.46;1.16
2001;200512;1;0.44;1.05
2001;200601;7;0.43;0.931
2001;200602;15;0.44;1.03
2001;200603;5;0.5;1.56
2001;200604;30;0.44;0.983
2001;200605;22;1.03;10.4
2001;200606;1;1.02;10.2
2001;200607;1;0.88;7.23
2001;200608;4;0.99;9.52
2001;200609;4;0.9;7.78
2001;200610;16;0.57;2.36
2001;200611;5;0.44;1.05
2001;200612;8;0.46;1.16
2001;200701;9;0.42;0.836
2001;200702;12;0.51;1.66
2001;200703;8;0.46;1.16
2001;200704;2;0.47;1.32
2001;200705;19;0.95;8.59
2001;200706;29;0.97;9.04
2001;200707;23;1.1;11.9
2001;200708;8;1.03;10.4
2001;200709;17;0.98;9.31
2001;200710;1;0.55;3.06
2001;200711;14;0.46;2.04
2001;200712;6;0.45;1.89
2001;200801;4;0.45;1.93
2001;200802;28;0.35;0.998
2001;200803;6;0.4;1.35
2001;200804;8;1;11.5
2001;200805;5;0.74;5.98
2001;200806;20;1.18;16.2
2001;200807;10;0.96;10.4
2001;200808;1;0.91;9.35
2001;200809;1;0.84;7.94
2001;200810;1;0.67;4.87
2001;200811;4;0.35;0.97
2001;200812;30;0.45;1.85
2001;200901;30;2;46.4
2001;200902;1;1.71;34.1
2001;200903;6;0.7;5.25
2001;200904;30;0.55;3.03
2001;200905;24;0.87;8.59
2001;200906;4;0.84;8
2001;200907;22;0.86;8.27
2001;200908;11;0.93;9.76
2001;200909;1;0.84;7.84
2001;200910;1;0.62;4.21
2001;200911;3;0.37;1.25
2001;200912;29;0.48;2.3
2001;201001;19;1.61;27.9
2001;201002;27;1.87;36.9
2001;201003;1;1.85;35.9
2001;201004;19;1.09;13.3
2001;201005;10;1.35;19.9
2001;201006;22;1.63;28.5
2001;201007;15;0.86;8.21
2001;201008;11;0.91;9.23
2001;201009;8;1.12;13.8
2001;201010;4;0.71;5.92
2001;201011;2;0.41;1.82
2001;201012;22;0.66;5.14
2001;201101;28;0.86;8.56
2001;201102;25;0.97;10.9
2001;201103;30;1.52;25
2001;201104;1;1.38;20.9
2001;201105;18;0.83;8.04
2001;201106;2;0.98;11
2001;201107;11;1.25;17.3
2001;201108;9;0.94;10.2
2001;201109;21;1.11;13.9
2001;201110;3;0.69;5.62
2001;201111;15;0.46;2.44
2001;201112;1;0.44;2.2
2001;201201;16;0.46;2.33
2001;201202;6;0.45;2.31
2001;201203;30;0.55;3.56
2001;201204;3;0.72;6.09
2001;201205;30;1;11.3
2001;201206;4;1.14;14.7
2001;201207;12;0.94;10.3
2001;201208;6;0.93;9.89
2001;201209;17;0.89;9.1
2001;201210;1;0.51;3.04
2001;201211;15;0.55;3.47
2001;201212;3;0.42;1.92
2001;201301;28;0.35;1.23
2001;201302;18;0.43;2.03
2001;201303;30;2.69;69.5
2001;201304;1;2.46;59.4
2001;201305;22;1.11;14
2001;201306;27;0.88;8.86
2001;201307;15;0.95;10.5
2001;201308;5;1.17;15.3
2001;201309;2;0.96;10.6
2001;201310;14;0.49;2.72
2001;201311;14;0.57;3.77
2001;201312;30;0.78;7.1
2001;201401;29;1.37;20.5
2001;201402;14;1.95;39.1
2001;201403;3;1.19;15.9
2001;201404;11;0.81;7.54
2001;201405;15;0.92;9.82
2001;201406;27;1.19;15.9
2001;201407;5;1.08;13.3
2001;201408;22;1.22;16.7
2001;201409;5;1.18;15.7
2001;201410;1;0.31;2.829
2001;201411;3;0.27;2.255
2001;201412;1;0.3;2.636
2001;201501;31;0.39;3.998
2001;201502;16;0.84;14.299
2001;201503;24;0.92;16.466
2001;201504;2;0.62;8.572
2001;201505;12;0.68;10.008
2001;201506;11;0.9;16.085
2001;201507;1;0.76;11.923
2001;201508;1;0.71;10.807
2001;201509;4;1;19.059
2001;201510;6;0.27;2.286
2001;201511;4;0.26;2.097
2001;201512;2;0.23;1.767
2001;201601;18;0.59;7.991
2001;201602;13;3.46;166.722
2001;201603;1;0.79;12.922
2001;201604;22;1.44;36.07
2001;201605;6;0.73;11.306
2001;201606;6;0.94;17.314
2001;201607;29;0.94;17.143
2001;201608;8;0.73;11.187
2001;201609;15;0.63;8.896
2001;201610;3;0.64;7.144
2001;201611;21;0.33;2.676
2001;201612;15;0.35;2.866
2001;201701;17;0.37;3.155
2001;201702;15;0.28;2.05
2001;201703;15;0.19;1.165
2001;201704;10;0.69;8.041
2001;201705;1;0.66;7.44
2001;201706;1;0.89;14.274
2001;201707;21;1.03;19.114
2001;201708;1;0.82;11.909
2001;201709;9;0.91;14.897
2001;201710;1;0.39;3.672
2001;201711;2;0.3;2.479
2001;201712;4;0.25;1.832
2001;201801;2;0.17;1.045
2001;201802;1;0.17;0.977
2001;201803;15;0.31;2.557
2001;201804;11;1.09;22.361
2001;201805;1;0.65;8.384
2001;201806;27;0.69;9.537
2001;201807;27;1.05;20.773
2001;201808;2;0.96;17.783
2001;201809;21;0.66;8.628
2001;201810;6;0.69;9.415
2001;201811;12;0.33;2.804
2001;201812;17;0.31;2.61
2001;201901;2;0.34;2.976
2001;201902;5;0.57;6.787
2001;201903;4;0.3;2.46
2001;201904;1;0.57;6.797
2001;201905;30;0.71;10.018
2001;201906;28;1.14;24.377
2001;201907;1;1.04;20.555
2001;201908;21;0.81;12.931
2001;201909;20;0.79;12.147
2001;201910;29;0.52;5.807
2001;201911;30;0.26;1.884
2001;201912;26;1.93;61.284
2001;202001;1;1.34;32.295
2001;202002;3;1.11;23
2001;202003;16;1.13;23.876
2001;202004;19;0.56;6.624
2001;202005;8;0.51;5.744
2001;202006;23;0.64;8.145
2001;202007;14;0.71;9.866
2001;202008;12;0.8;12.416
2001;202009;3;0.7;9.742
2001;202010;4;0.54;6.285
2001;202011;16;0.34;2.941
2001;202012;14;0.35;3.038
2001;202101;27;1.92;60.685
2001;202102;1;1.87;58.259
2001;202103;1;1.03;20.05
2001;202104;28;0.73;10.465
2001;202105;10;0.61;7.504
2001;202106;18;0.85;14.172
2001;202107;23;1.03;20.266
2001;202108;29;1.01;19.301
2001;202109;25;0.86;14.457
2002;195310;;;11.75
2002;195311;;;4.5
2002;195312;;;10.3
2002;195401;;;8.15
2002;195402;;;18.2
2002;195403;;;27
2002;195404;;;10.3
2002;195405;;;23.4
2002;195406;;2.49;47.7
2002;195407;;;13.2
2002;195408;;;14
2002;195409;;;17
2002;195410;;;17.3
2002;195411;;;10
2002;195412;;;18.8
2002;195501;;2.78;56.96
2002;195502;;;34.8
2002;195503;;;19.1
2002;195504;;;12.5
2002;195505;;;9.1
2002;195506;;;16.2
2002;195507;;;12.5
2002;195508;;;16.6
2002;195509;;;20.3
2002;195510;;;15.3
2002;195511;;;9.1
2002;195512;;;53.12
2002;195601;;;50.24
2002;195602;;;33.9
2002;195603;;4.44;110.08
2002;195604;;;45.15
2002;195605;;;65.28
2002;195606;;;23.2
2002;195607;;;15.3
2002;195608;;;14.4
2002;195609;;;14
2002;195610;;;6.4
2002;195611;;;3.2
2002;195612;;;2.14
2002;195701;;;1.55
2002;195702;;1.43;13.45
2002;195703;;;6
2002;195704;;;2.7
2002;195705;;;4.5
2002;195706;;;4.1
2002;195707;;;11
2002;195708;;;12.85
2002;195709;;;4.75
2002;195710;;;2.8
2002;195711;;;1.9
2002;195712;;;2.05
2002;195801;;;18.8
2002;195802;;;15.8
2002;195803;;;20
2002;195804;;;19.4
2002;195805;;;8.15
2002;195806;;1.63;20.3
2002;195807;;;19.4
2002;195808;;;19.7
2002;195809;;;18.5
2002;195810;;;12.5
2002;195811;;;14.8
2002;195812;;3.5;80.96
2002;195901;;;20
2002;195902;;;10.65
2002;195903;;;13.2
2002;195904;;;10
2002;195905;;;17.3
2002;195906;;;13.45
2002;195907;;;16.6
2002;195908;;;18.5
2002;195909;;;20
2002;195910;;;18.2
2002;195911;;;18.8
2002;195912;;;109.76
2002;196001;;;106.56
2002;196002;;5.04;129.28
2002;196003;;;63.04
2002;196004;;;29.3
2002;196005;;;23.4
2002;196006;;;27
